"Sygnatura czasowa","Płeć:","Wiek:","Kierunek studiów:"," [Czuję się brzydszy/a od innych ludzi.]"," [Boję się wykluczenia, bo nie jestem wystarczająco fajny/a.]"," [Ogólnie jestem zadowolony ze swoich wyników na studiach.]"," [Nie jestem osobą wartą zainteresowania.]"," [Rozpoczynając naukę nowych przedmiotów, obawiam się, że im nie podołam.]"," [Jestem wystarczająco atrakcyjny/a, żeby umawiać się na randki.]"," [Gdy ktoś mnie skrytykuje, to czuję się bezwartościowy/a.]"," [Uważam, że potrafię wspierać bliskie mi osoby.]"," [Myślę, że jestem za brzydki/a, żeby podobać się innym.]"," [Moje spostrzeżenia są zwykle cennym wkładem w dyskusję na zajęciach.]"," [Zasługuję na miłość i akceptację taka/taki, jaka/jaki jestem.]"," [Relacja ze mną jest cenna.]"," [Uważam, że nie jestem dostatecznie inteligentny/a, aby studiować kierunek, który wybrałem/am.]"," [Zasługuję na bycie docenionym/ą nie mniej niż inni studenci.]"," [Akceptuję niedoskonałości w swoim ciele.]"," [Kiedy ponoszę porażkę na studiach, to czuję się mniej inteligentny/a.]"," [Ogólnie jestem zadowolony/a ze swojego wyglądu.]"," [Nie zasługuję na komplementy, bo jestem za mało atrakcyjny/a.]"," [Czułbym się niepewny swojej wiedzy i swoich umiejętności, nawet gdyby moje wyniki na studiach były dobre.]"," [Krytyczne uwagi na temat mojego wyglądu sprawiają, że czuję się zupełnie nieatrakcyjny/a.]"," [Nie lubię patrzeć na swoje zdjęcia, bo wychodzę na nich źle.]"," [Są części mojego ciała, których nienawidzę.]"," [Wstydzę się pokazać w stroju kąpielowym na plaży.]"," [Boję się tego, że będę źle odebrany/a, jeśli będę zachowywać się swobodnie.]"," [Czuję się gorszy/a od innych.]"," [Jestem beznadziejnym/ą studentem/studentką.]"," [Czuję się skrępowany/a tym, jak wyglądam.]"," [Wstydzę się zadawać pytania na zajęciach z obawy, że są za głupie.]"
"2021/12/28 3:41:55 PM CET","mężczyzna","20","Muzykologia","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak","raczej nie","raczej nie","zdecydowanie tak","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie"
"2021/12/28 3:47:18 PM CET","mężczyzna","20","Finanse i Rachunkowość","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej tak","raczej nie","zdecydowanie nie","raczej nie","raczej tak"
"2021/12/28 3:50:42 PM CET","kobieta","20","Ekonomia","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej nie","raczej tak"
"2021/12/28 4:10:24 PM CET","mężczyzna","20","Finanse i rachunkowość","trochę tak, trochę nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","raczej nie","raczej nie","raczej tak","raczej nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie nie","raczej nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","zdecydowanie tak"
"2021/12/28 4:23:07 PM CET","mężczyzna","21","ekonomia przedsiebiorstwa","raczej nie","zdecydowanie tak","raczej tak","raczej tak","raczej nie","zdecydowanie tak","raczej nie","raczej tak","raczej nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej nie","zdecydowanie tak"
"2021/12/28 4:33:08 PM CET","kobieta","19","Sinologia","zdecydowanie nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej tak","raczej nie","raczej nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 4:39:25 PM CET","kobieta","19","Finanse i Rachunkowość","trochę tak, trochę nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","raczej tak","raczej nie","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej nie","raczej tak","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie","zdecydowanie tak","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie"
"2021/12/28 4:51:33 PM CET","mężczyzna","22","lekarski","raczej nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","raczej tak","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/28 5:10:04 PM CET","kobieta","20","Położnictwo ","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej nie","raczej tak","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","zdecydowanie tak"
"2021/12/28 5:31:38 PM CET","mężczyzna","20","Bohemistyka","raczej nie","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej nie","trochę tak, trochę nie"
"2021/12/28 5:38:24 PM CET","mężczyzna","20","Applied Computer Science","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak","zdecydowanie nie","raczej nie","raczej tak","raczej tak","raczej nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 5:46:11 PM CET","kobieta","21","Ekonomia","raczej tak","zdecydowanie tak","zdecydowanie nie","raczej nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie tak","zdecydowanie tak"
"2021/12/28 5:54:52 PM CET","mężczyzna","22","Automatyka I Elektrotechnika Przemysłowa ","zdecydowanie nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie"
"2021/12/28 6:27:40 PM CET","mężczyzna","21","Automatyka i Robotyka","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej tak","raczej tak","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej nie","raczej nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej nie","raczej nie","trochę tak, trochę nie"
"2021/12/28 6:30:01 PM CET","mężczyzna","22","Architektura informacji ","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej tak","raczej nie","zdecydowanie tak","raczej nie","raczej tak","raczej tak","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","raczej tak","raczej nie","raczej tak","raczej nie","raczej tak","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie nie","raczej nie","raczej tak"
"2021/12/28 6:30:02 PM CET","kobieta","19","Muzykologia ","raczej nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie","raczej nie","zdecydowanie nie","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej tak"
"2021/12/28 6:34:12 PM CET","kobieta","19","Filologia angielska","trochę tak, trochę nie","raczej tak","raczej tak","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie"
"2021/12/29 8:10:18 AM CET","mężczyzna","21","Ekonomia","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej tak","raczej tak","raczej tak","zdecydowanie tak","raczej tak","raczej tak","zdecydowanie tak","raczej nie","zdecydowanie tak","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej tak"
"2021/12/29 9:25:02 AM CET","mężczyzna","22","Filologia Polska","trochę tak, trochę nie","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/29 9:41:05 AM CET","mężczyzna","18 lat ","Muzykologia ","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie tak"
"2021/12/29 11:12:23 AM CET","kobieta","20","Ekonomia międzynarodowa","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej tak","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak"
"2021/12/29 1:14:27 PM CET","mężczyzna","20","Matematyka i ekonomia","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej tak"
"2021/12/29 1:25:54 PM CET","kobieta","20","Informatyka","raczej nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej tak","raczej nie","raczej nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej nie","raczej tak","raczej tak","raczej tak","raczej nie","raczej nie","raczej tak"
